rank,player,nfl_team,position,market_rank,consensus_adp,underdog_adp,custom_rank,tier,peter_score,nfl_adp,sleeper_adp,yahoo_adp,espn_adp,fantasypros_adp,walterpicks_adp
1,Jahmyr Gibbs,DET,RB,1,,,1,S,99,,,,,,
2,Bijan Robinson,ATL,RB,2,,,2,S,99,,,,,,
3,Ja'Marr Chase,CIN,WR,3,,,3,S,98,,,,,,
4,Puka Nacua,LAR,WR,4,,,4,S,98,,,,,,
5,Jaxon Smith-Njigba,SEA,WR,5,,,5,A,98,,,,,,
6,Christian McCaffrey,SF,RB,6,,,6,A,98,,,,,,
7,Amon-Ra St. Brown,DET,WR,7,,,7,A,97,,,,,,
8,Jonathan Taylor,IND,RB,8,,,8,A,97,,,,,,
9,CeeDee Lamb,DAL,WR,9,,,9,A,97,,,,,,
10,James Cook,BUF,RB,10,,,10,B,97,,,,,,
11,Justin Jefferson,MIN,WR,11,,,11,B,96,,,,,,
12,Chase Brown,CIN,RB,12,,,12,B,96,,,,,,
13,Devon Achane,MIA,RB,13,,,13,B,96,,,,,,
14,Omarion Hampton,LAC,RB,14,,,14,B,95,,,,,,
15,Saquon Barkley,PHI,RB,15,,,15,B,95,,,,,,
16,Kenneth Walker,KC,RB,16,,,16,B,95,,,,,,
17,Ashton Jeanty,LV,RB,17,,,17,B,95,,,,,,
18,Drake London,ATL,WR,18,,,18,B,94,,,,,,
19,Brock Bowers,LV,TE,19,,,19,C,94,,,,,,
20,Derrick Henry,BAL,RB,20,,,20,C,94,,,,,,
21,A.J. Brown,NE,WR,21,,,21,C,93,,,,,,
22,Nico Collins,HOU,WR,22,,,22,C,93,,,,,,
23,Malik Nabers,NYG,WR,23,,,23,C,93,,,,,,
24,George Pickens,DAL,WR,24,,,24,C,93,,,,,,
25,Rashee Rice,KC,WR,25,,,25,C,92,,,,,,
26,Chris Olave,NO,WR,26,,,26,C,92,,,,,,
27,Trey McBride,ARI,TE,27,,,27,C,92,,,,,,
28,DeVonta Smith,PHI,WR,28,,,28,D,92,,,,,,
29,Breece Hall,NYJ,RB,29,,,29,D,91,,,,,,
30,Jeremiyah Love,ARI,RB,30,,,30,D,91,,,,,,
31,Kyren Williams,LAR,RB,31,,,31,D,91,,,,,,
32,Javonte Williams,DAL,RB,32,,,32,D,90,,,,,,
33,Zay Flowers,BAL,WR,33,,,33,D,90,,,,,,
34,Tee Higgins,CIN,WR,34,,,34,D,90,,,,,,
35,Jaylen Waddle,DEN,WR,35,,,35,D,90,,,,,,
36,Josh Allen,BUF,QB,36,,,36,D,89,,,,,,
37,Ladd McConkey,LAC,WR,37,,,37,D,89,,,,,,
38,Emeka Egbuka,TB,WR,38,,,38,D,89,,,,,,
39,Colston Loveland,CHI,TE,39,,,39,D,88,,,,,,
40,Tetairoa McMillan,CAR,WR,40,,,40,E,88,,,,,,
41,Garrett Wilson,NYJ,WR,41,,,41,E,88,,,,,,
42,Travis Etienne,NO,RB,42,,,42,E,88,,,,,,
43,Cam Skattebo,NYG,RB,43,,,43,E,87,,,,,,
44,Bucky Irving,TB,RB,44,,,44,E,87,,,,,,
45,D'Andre Swift,CHI,RB,45,,,45,E,87,,,,,,
46,Davante Adams,LAR,WR,46,,,46,E,87,,,,,,
47,Bhayshul Tuten,JAX,RB,47,,,47,E,86,,,,,,
48,David Montgomery,HOU,RB,48,,,48,E,86,,,,,,
49,Quinshon Judkins,CLE,RB,49,,,49,E,86,,,,,,
50,Luther Burden,CHI,WR,50,,,50,E,85,,,,,,
51,Terry McLaurin,WAS,WR,51,,,51,F,85,,,,,,
52,Jameson Williams,DET,WR,52,,,52,F,85,,,,,,
53,TreVeyon Henderson,NE,RB,53,,,53,F,85,,,,,,
54,Lamar Jackson,BAL,QB,54,,,54,F,84,,,,,,
55,Mike Evans,SF,WR,55,,,55,F,84,,,,,,
56,Rome Odunze,CHI,WR,56,,,56,F,84,,,,,,
57,Jadarian Price,SEA,RB,57,,,57,F,83,,,,,,
58,Carnell Tate,TEN,WR,58,,,58,F,83,,,,,,
59,Brian Thomas,JAX,WR,59,,,59,F,83,,,,,,
60,Tyler Warren,IND,TE,60,,,60,F,83,,,,,,
61,DJ Moore,BUF,WR,61,,,61,F,82,,,,,,
62,Marvin Harrison,ARI,WR,62,,,62,G,82,,,,,,
63,Christian Watson,GB,WR,63,,,63,G,82,,,,,,
64,Jaylen Warren,PIT,RB,64,,,64,G,82,,,,,,
65,Parker Washington,JAX,WR,65,,,65,G,81,,,,,,
